artist,song,lirik,genre
Ayu Ting Ting,Alamat Palsu,"Ya ya yaaa
Ya ya yaaa

Ke mana ke mana ke mana
Kuharus mencari ke mana
Kekasih tercinta tak tahu rimbanya
Lama tak datang ke rumah

Di mana di mana di mana
Tinggalnya sekarang
Di mana

Ke sana ke mari membawa alamat
Namun yang kutemui bukan dirinya
Sayang yang kuterima alamat palsu

Ku tanya sama teman-teman semua
Tetapi mereka bilang tidak tahu
Sayang mungkin diriku sudah tertipu
Membuat aku frustasi dibuatnya

Di mana di mana di mana
Tinggalnya sekarang
Di mana

Ke sana ke mari membawa alamat
Namun yang kutemui bukan dirinya
Sayang yang kuterima alamat palsu

Ku tanya sama teman-teman semua
Tetapi mereka bilang tidak tahu
Sayang mungkin diriku sudah tertipu
Membuat aku frustasi dibuatnya

Ke mana ke mana ke mana
Kuharus mencari ke mana
Kekasih tercinta tak tahu rimbanya
Lama tak datang ke rumah

Di mana di mana di mana
Tinggalnya sekarang
Di mana",dangdut
Dadido,Aca Aca Nehi Nehi,"mamamamama mau makan mau minum bikin sendiri
cuci baju celana nyetrika pun sendiri
apalagi bila tanggal tua mendekati
aku bagai bujangan yang tak punya istri

nasib memang nasib jadi begini
semuanya apa-apa ku lakukan sendiri
lama-lama mumet juga eh kalo begini
bila talak tilu talak tilu

alala tum jahe jahe aca aca nehi nehi
aduh biyung inyong ora sudi
bila sifatmu terus begitu
pulang saja kau pulang ke rumah orang tuamu

alala tum jahe jahe aca aca nehi nehi
aduh biyung inyong ora sudi
bila dirimu terus begitu
aku pulangkan kamu

maunya aku marah eh aku bingung sendiri
baru mau ngomong eh malah ditinggal pergi (oh ya)
mondar mandir sendiri bingung mau ngapain
ampun gusti ammpuni hambamu ini

bila ada uang abang disayang
bila tak ada, jatah kopi pun hilang
lama-lama kalau begini rontok hatiku
bisa talak tilu talak tilu

alala tum jahe jahe aca aca nehi nehi
aduh biyung inyong ora sudi
bila sifatmu terus begitu
pulang saja kau pulang ke rumah orang tuamu

alala tum jahe jahe aca aca nehi nehi
aduh biyung inyong ora sudi
bila dirimu terus begitu
aku pulangkan kamu

jahe jahe alala tum jahe jahe
nehi nehi aca aca nehi nehi
jahe jahe alala tum jahe jahe
aca aca aca nehi nehi nehi

alala tum jahe jahe aca aca nehi nehi
aduh biyung inyong ora sudi
bila sifatmu terus begitu
pulang saja kau pulang ke rumah orang tuamu

alala tum jahe jahe aca aca nehi nehi
aduh biyung inyong ora sudi
bila dirimu terus begitu
aku pulangkan kamu",dangdut
Denny Caknan,Kartonyono Medot Janji,"Kok kebangeten men
Sambat belas raono perhatian
Jelas kubutuh atimu
Kubutuh awakmu
Kok kebangeten men

Loro ati iki
Tambarno karo tak nggo latihan
Sok nek wes oleh gantimu
Wes ra kajok aku
Mergo wes tau, wes tau jeru

Mbien aku jek betah
Suwe suwe wegah
Nuruti kekarepanmu
Sansoyo bubrah

Mbiyen wes tak wanti-wanti
Ojo ngasi lali
Tapi kenyataanya pergi

Kartonyono ning Ngawi medot janjimu
Ambruk cagak ku nuruti angen angenmu
Sak kabehane wes tak turuti
Tapi malah mblenjani

Budalo malah tak duduhi dalane
Metu kono belok kiri lurus wae
Rasa nyawang sepionmu sing marai ati
Tambah mbebani

Mbien aku jek betah
Suwe suwe wegah
Nuruti kekarepanmu
Sansoyo bubrah

Mbiyen wes tak wanti-wanti
Ojo sampe lali
Tapi kenyataanya pergi

Kartonyono ning Ngawi medot janjimu
Ambruk cagak ku nuruti angen angenmu
Sak kabehane wes tak turuti
Tapi malah mblenjani

Budalo malah tak duduhi dalane
Metu kono belok kiri lurus wae
Rasa nyawang sepionmu sing marai ati
Tambah mbebani",dangdut
Denny Caknan,LOS DOL,"Los Dol, ndang lanjut lehmu WhatsApp-an 
Cek paket datane yen entek tak tukokne 
Tenan, dek, elingo, yen mantan nakokno
Kabarmu, tandane iku ora rindu 
Nanging kangen keringet bareng awakmu 

Tak gawe los dol, blas aku ra rewel 
Nyanding sliramu sing angel disetel 
Tutuk-tutukno chattingan karo wong liyo 
Rapopo, aku ra gelo Kok tutup-tutupi? 

Nomere mbok ganti Firasat ati angel diapusi 
Senajan mbok ganti tukang las 
Bakul sayur lan tukang gas Titeni, bakale ngerti (oh-ah-oh-eh) 

Los Dol, ndang lanjut lehmu WhatsApp-an 
Cek paket datane yen entek tak tukokne 
Tenan, dek, elingo, yen mantan nakokno
Kabarmu, tandane iku ora rindu 
Nanging kangen keringet bareng awakmu 

Kok tutup-tutupi? Nomere mbok ganti 
Firasat ati angel diapusi 
Senajan mbok ganti tukang las 
Bakul sayur lan tukang gas 
Titeni, bakale ngerti (oh-ah-oh-eh) 

Los Dol, ndang lanjut lehmu WhatsApp-an 
Cek paket datane yen entek tak tukokne 
Tenan, dek, elingo, yen mantan nakokno
Kabarmu, tandane iku ora rindu 

Los Dol, ndang lanjut lehmu WhatsApp-an 
Cek paket datane yen entek tak tukokne 
Tenan, dek, elingo, yen mantan nakokno
Kabarmu, tandane iku ora rindu 
Nanging kangen keringet bareng awakmu 
Nanging kangen keringet bareng awakmu 

Los Dol, ndang lanjut lehmu WhatsApp-an 
Cek paket datane yen entek tak tukokne 
Tenan, dek, elingo, yen mantan nakokno
Kabarmu, tandane iku ora rindu 
Nanging kangen keringet bareng awakmu",dangdut
Denny Caknan X Happy Asmara,SATRU,"unine batin dungoku
ra luput ko jenengmu
aku ngedem-ngedem atimu
bakoh mempertahankanmu

Gusti kulo mpun manut dalane
mung jenengan sing ngatur ceritane
sing jelas aku mikir ke depane
opo bakal hubungan satru sakteruse

tulung percoyo aku sayang awakmu
buktine sampeyan nglirik liyane
sumpah ra koyo sing mbok pikir selama iki
mas, isoku meneng, ngajeni awakmu

sepurane yen pancen salah
sepurane yen aku neng uripmu mung masalah
rangkulen aku, iki gur mung salah pahamku

satru, hubungan mung salah pahammu
sampeyan kudu ngerteni, aku cemburu

Gusti kulo mpun manut dalane
mung jenengan sing ngatur ceritane
hoo ooo sing jelas aku mikir ke depane
opo bakal hubungan satru sakteruse

tulung percoyo aku sayang awakmu
buktine sampeyan nglirik liyane
sumpah ra koyo sing mbok pikir selama iki
mas, isoku meneng, ngajeni awakmu

sepurane yen pancen salah
sepurane yen aku neng uripmu mung masalah
rangkulen aku, iki gur mung salah pahamku

unine batin dungoku
ra luput ko jenengmu",dangdut
Elvy Sukaesih,Sekuntum Mawar Merah,"Sekuntum mawar merah
Yang kauberikan kepadaku
Di malam itu
‘Ku mengerti apa maksudmu

Sampai kini kusimpan
Bunga pemberian darimu
Tiap kulihat
‘Ku terkenang pada dirimu

Bunga mawar merah suatu tanda cinta
Yang berarti bahwa kau cinta padaku
Dengan senang hati kuterima cintamu
Karena aku juga cinta kepadamu

Oh bahagia

Dua hati telah berpadu

Sekuntum mawar merah
Yang kau berikan kepadaku
Di malam itu
Ku mengerti apa maksudmu

Bunga mawar merah suatu tanda cinta
Yang berarti bahwa kau cinta padaku
Dengan senang hati kuterima cintamu
Karena aku juga cinta kepadamu

Oh bahagia

Dua hati telah berpadu

Sekuntum mawar merah
Yang kau berikan kepadaku
Di malam itu
Ku mengerti apa maksudmu",dangdut
Fahmi Shahab,Kopi Dangdut,"Kala kupandang kerlip bintang nun jauh disana
Saat kudenger melodi cinta yang menggema
Terasa kembali gelora jiwa mudaku
Karna tersentuh alunan lagu semerdu kopi dangdut

Api asmara yang dahulu pernah membara
Semakin hangat bagai ciuman yang pertama
Detak jantungku seakan ikut irama
karna terlena oleh pesona alunan kopi dangdut

Irama kopi dangdut yang ceria
Menyengat hati menjadi gairah
membuat aku lupa akan cintaku yang telah lalu

Api asmara yang dahulu pernah membara
Semakin hangat bagai ciuman yang pertama
Detak jantungku seakan ikut irama
Karna terlena oleh pesona alunan kopi dangdut

Dag dig dug detak jantungku
Ser ser ser bunyi darahku

Na na na
Mengapa kamu datang lagi menggodaku
Dulu hatiku membeku
Bagaikan segumpal salju

Ku tak mau peduli
biar hitam biar putih
Melangkah berhati hati
Asal jangan nyebur ke kali",dangdut
Icue Wong,Pacar 5 Langkah,"Pacarku memang dekat
Lima langkah dari rumah
Tak perlu kirim surat
Sms juga gak usah

Kalo rindu bertemu
Tinggal ngomong depan pintu
Tangan tinggal melambai
Sambil bilang helo sayang

Duh aduh memang asyik
Punya pacar tetangga
Biaya apel pun irit
Gak usah buang duit

Tak ada malam mingguan
Malam apapun sama

Tiap hari berduaan
Merenda cinta yg mesra

Tidak usah ditelepon
Kalo kangen langsung jalan
Nggak pake sms-an
Lima langkah langsung nyampai

Pacarku memang dekat
Lima langkah dari rumah
Tak perlu kirim surat
Sms juga nggak usah",dangdut
Inul,Buaya Buntung,"dasar kau buaya buntung tung
pacaran kau itung itung tung
dasar kau buaya buntung, mencari untung

kamu datang c-ma bawa cinta ta
kamu datang c-ma bawa sayang yang
apa aku harus makan cinta, dasar buaya
courtesy of liriklagu.asia
buaya buntung, buntung dong
 
dasar kau buaya buntung tung
pacaran kau itung itung tung
dasar kau buaya buntung, mencari untung
 
mau makan mau makan mau makan, maunya dibeliin
mau minum, mau minum, mau minum, maunya diambilin
mau pergi, mau pergi jalan-jalan, maunya dibayarin
minta ini, minta itu, minta anu, maunya diturutin

punya pacar c-ma modal dengkul
tiap hari ngomongnya sebakul
punya pacar c-ma cari untung
memang dasar kau buaya buntung
 
dasar kau buaya buntung tung
pacaran kau itung itung tung
dasar kau buaya buntung, mencari untung

mau makan mau makan mau makan, maunya dibeliin
mau minum, mau minum, mau minum, maunya diambilin
mau pergi, mau pergi jalan-jalan, maunya dibayarin
minta ini, minta itu, minta anu, maunya diturutin
 
punya pacar c-ma modal dengkul
tiap hari ngomongnya sebakul
punya pacar c-ma cari untung
memang dasar kau buaya buntung

dasar kau buaya buntung tung
pacaran kau itung itung tung
dasar kau buaya buntung, mencari untung

kamu datang c-ma bawa cinta ta
kamu datang c-ma bawa sayang yang
apa aku harus makan cinta, dasar buaya

buaya buntung, buntung dong

dasar kau buaya buntung tung
pacaran kau itung itung tung
dasar kau buaya buntung, mencari untung",dangdut
Lissa,Keong Racun,"Dasar kau keong racun
Baru kenal eh ngajak tidur
Ngomong nggak sopan santun
Kau anggap aku ayam kampung

Kau rayu diriku
Kau goda diriku
Kau colek diriku

Eh ku takut sekali
tanpa basa basi kau ngajak happy happy
Eh kau tak tahu malu
Tanpa basa basi kau ngajak happy happy

Mulut kumat kemot
Matanya melotot
Lihat body semok
Pikiranmu jorok

Mentang-mentang kau kaya
Aku dianggap jablay
Dasar koboy kucai
Ngajak check-in dan santai

Sorry sorry sorry jack
Jangan remehkan aku
Sorry sorry sorry bang
Ku bukan cewek murahan

Dasar kau keong racun
Baru kenal eh ngajak tidur
Ngomong nggak sopan santun
Kau anggap aku ayam kampung",dangdut
Nasar,Seperti Mati Lampu,"Janganlah kau tanyakan besarnya cintaku
ku persembahkan untukmu, hanya kepadamu
oh dan janganlah kau ragukan luasnya cintaku
yang putih tulus untukmu, hanya kepadamu

luasnya laut tak seluas cinta yang ku punya
tak sedalam cinta yang ku rasa, cintaku satu untukmu
tingginya langit tak setinggi kasih yang ku punya
tak setinggi kasih yang ku rasa, cintaku satu untukmu

seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu
seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu

janganlah kau ragukan luasnya cintaku
yang putih tulus untukmu, hanya kepadamu

luasnya laut tak seluas cinta yang ku punya
tak sedalam cinta yang ku rasa, cintaku satu untukmu
tingginya langit tak setinggi kasih yang ku punya
tak setinggi kasih yang ku rasa, cintaku satu untukmu

seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu
seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu

(seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu)

seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu",dangdut
Ndarboy Genk,Ambyar Mak Pyar,"Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Aku cemburu
Weroh kowe mlaku ro kancaku
Nanging aku sadar dudu
Sopo-sopomu

Rong dino rong wengi
Durung mbok balesi
Chat ngucapke selamat pagi
Kowe mbales ojo ngganggu
Lagi ro pacarku

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Ra sah dipeksakke
Mikir kowe malah edan dewe
Mergo aku sadar kowe
Wes ono sing nduwe

Senajan loro ati
Kudu dinikmati
Ora perlu ditangisi
Putar gelas lagi

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Atiku wes ikhlas
Mbok gawe babak bundas",dangdut
Ndarboy Genk,Mendung Tanpo Udan,"mendung tanpo udan
ketemu lan kelangan
kabeh kui sing diarani perjalanan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan

mlaku bebarengan
ben dino sayang-sayangan
sedih lan kebahagiaan
dilewati tahun-tahunan

padu meneng-menengan
bar kui kangen-kangenan
kadang bedo pilihan
nganti pedot balikan

mendung tanpo udan, ketemu lan kelangan
kabeh kui sing diarani perjalanan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan

mendung tanpo udan, ketemu lan kelangan
kabeh kui sing diarani perjalanan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan
aku kiri koe kanan, wes bedo dalan",dangdut
Nella Kharisma,Bojo Galak,"Apa salah dan dosaku, sayang
Cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan
Jaran goyang, jaran goyang

Sayang, janganlah kau waton serem
Hubungan kita semula adem
Tapi sekarang kecut bagaikan asem
Semar mesem, semar mesem

Jurus yang sangat ampuh, teruji terpercaya
Tanpa anjuran dokter, tanpa harus muter-muter
Cukup siji solusinya, pergi ke mbah dukun saja
Langsung sambat, ""Mbah, saya putus cinta""

Kalau tidak berhasil, pakai jurus yang kedua
Semar mesem namanya, jaran goyang jodohnya
Cen rodok ndagel syarate, penting di lakoni wae
Ndang di cubo, mesthi kasil terbukti kasiate, genjrot

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Wes cukup stop mandekko disek sek sek
Jangan bicara jangan berisek sek sek
Gek ayo ndang mangkat ndukun, rasah kakean ngelamun
Ndukun, ndukun, ndukun ayo ndukun
And slow, woles woles baby baby
Rasakno aku wes wani perih baby
Rungokno, ku alami hal sama dengan dirimu
Bojoku mencampakkan diriku, podo bojomu podo tanggamu

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Ini terakhir, cara tuk dapatkan kamu
Jika ini gagal, kan ku racuni dirimu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem",dangdut
Nella Kharisma,Jaran Goyang,"Apa salah dan dosaku, sayang
Cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan
Jaran goyang, jaran goyang

Sayang, janganlah kau waton serem
Hubungan kita semula adem
Tapi sekarang kecut bagaikan asem
Semar mesem, semar mesem

Jurus yang sangat ampuh, teruji terpercaya
Tanpa anjuran dokter, tanpa harus muter-muter
Cukup siji solusinya, pergi ke mbah dukun saja
Langsung sambat, ""Mbah, saya putus cinta""

Kalau tidak berhasil, pakai jurus yang kedua
Semar mesem namanya, jaran goyang jodohnya
Cen rodok ndagel syarate, penting di lakoni wae
Ndang di cubo, mesthi kasil terbukti kasiate, genjrot

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Wes cukup stop mandekko disek sek sek
Jangan bicara jangan berisek sek sek
Gek ayo ndang mangkat ndukun, rasah kakean ngelamun
Ndukun, ndukun, ndukun ayo ndukun
And slow, woles woles baby baby
Rasakno aku wes wani perih baby
Rungokno, ku alami hal sama dengan dirimu
Bojoku mencampakkan diriku, podo bojomu podo tanggamu

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Ini terakhir, cara tuk dapatkan kamu
Jika ini gagal, kan ku racuni dirimu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem",dangdut
Rhoma Irama,Begadang,"Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya

Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya

Kalau terlalu banyak begadang
Muka pucat karena darah berkurang

Bila sering kena angin malam
Segala penyakit akan mudah datang

Darilah itu sayangi badan
Jangan begadang setiap malam

Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya

Kalau terlalu banyak begadang
Muka pucat karena darah berkurang

Bila sering kena angin malam
Segala penyakit akan mudah datang

Darilah itu sayangi badan
Jangan begadang setiap malam

Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya",dangdut
Rhoma Irama,Bujangan,"Katanya enak menjadi bujangan
Ke mana-mana tak ada yang larang
Hidup terasa ringan tanpa beban
Uang belanja tak jadi pikiran
O, bujangan ... bujangan
Bujangan ... bujangan

Enaknya kalau jadi bujangan
Hidup bebas bagai burung terbang
Kantong kosong tidak jadi persoalan

Tapi susahnya menjadi bujangan
Kalau malam tidurnya sendirian
Hanya bantal guling sebagai teman
Mata melotot pikiran melayang
O, bujangan ... bujangan
Bujangan ... bujangan

Susahnya kalau jadi bujangan
Hidup tidak akan bisa tenang
Urusi segala macam sendirian

Ho..., boleh saja hidup membujang
‘Pabila hidup belum mapan
Asalkan jangan suka jajan

Ho..., tidak boleh hidup membujang
Kalau untuk bebas berkencan
Dengan gonta-ganti pasangan

Kalau memang semuanya sudah mungkin
Tentu lebih baik kawin
Karena bahayanya hidup sendirian
Berat menahan godaan",dangdut
Rhoma Irama ft Rita Sugiarto,Cuma Kamu,"cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini
tanpa kamu sunyi ku rasa dunia ini
tanpa kamu hampa ku rasa dunia ini

cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini

tiada kalimat dapat melukiskan
betapa sayangku kepada dirimu
tiada ibarat sebagai umpama
betapa cinta kepada dirimu

itu dapat ku rasa 
dari belai tanganmu
itu dapat ku rasa 
dari pandang matamu

cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini
tanpa kamu sunyi ku rasa dunia ini
tanpa kamu hampa ku rasa dunia ini

cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini",dangdut
